Url,Index,Title,Author,Stars,Ratings,Price
https://www.amazon.in//Years-Prelims-Topic-wise-Solved-Papers/dp/8194815010/ref=zg_bs_books_30/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#30,26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,4.093,309.00
https://www.amazon.in//Samanya-Hindi-Practice-Booklet-teaching/dp/B09B56QC78/ref=zg_bs_books_31/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#31,"Samanya Hindi Practice Booklet for teaching exams (DSSSB, KVS, NVS, HTET, UPTET, Etc.) by Arun Sir",UNIFOX PUBLICATION,5.0 out of 5 stars,3.0,199.00
https://www.amazon.in//Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_books_32/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#32,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,36.72,429.00
https://www.amazon.in//Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_books_33/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#33,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.6 out of 5 stars,1.495,159.00
https://www.amazon.in//PMF-IAS-Environment-2021-22/dp/B09BLK2L12/ref=zg_bs_books_34/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#34,PMF IAS Environment 2021-22,PMF IAS,5.0 out of 5 stars,22.0,665.00
https://www.amazon.in//Wuthering-Heights-Emily-Bront%C3%AB/dp/8172344899/ref=zg_bs_books_35/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#35,Wuthering Heights,Emily Brontë,4.5 out of 5 stars,13.269,99.00
https://www.amazon.in//Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_books_36/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#36,"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12",Sudha Murty,4.7 out of 5 stars,3.812,136.00
https://www.amazon.in//Moral-Story-Books-Illustrated-Stories/dp/9381569886/ref=zg_bs_books_37/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#37,Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,1.635,225.00
https://www.amazon.in//Brief-History-Modern-India-2020-21/dp/817930759X/ref=zg_bs_books_38/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#38,A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.4 out of 5 stars,1.454,255.00
https://www.amazon.in//Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=zg_bs_books_39/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#39,Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,16.734,304.00
https://www.amazon.in//First-1000-Words-Transport-Professions/dp/9388144112/ref=zg_bs_books_40/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#40,"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of The Body and Objects Around Us.",Wonder House Books,4.5 out of 5 stars,3.18,149.00
https://www.amazon.in//Intelligent-Investor-English-Paperback-2013/dp/0062312685/ref=zg_bs_books_41/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#41,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,26.983,480.00
https://www.amazon.in//Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167/ref=zg_bs_books_42/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#42,A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,7.341,527.00
https://www.amazon.in//Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_books_43/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#43,The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,38.431,199.00
